city,location,price,bedrooms,baths,size,title,page_url,date_added,property_type,latitude,longitude,number_of_photos,province,agency,purpose
Multan,"Buch Executive Villas, Multan",13500000,4,5,1125,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_brand_new_house_for_sale_buch_villas-44920269-8627-1.html,Added: 3 weeks ago,Houses_Property,30.286812,71.489983,18,Punjab,ASKARI PROPERTY ADVISOR,Buy
Multan,"Buch Executive Villas, Multan",13500000,4,5,1125,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_triple_storey_luxury_house_available_for_sale_at_prime_location-44853355-8627-1.html,Added: 3 weeks ago,Houses_Property,30.2868,71.49,33,Punjab,ASKARI PROPERTY ADVISOR,Buy
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",50000000,5,6,2812,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_buch_villas_12_55_double_storey_fully_furnished_house_for_sale-47566248-19720-1.html,Added: 1 week ago,Houses_Property,30.29016,71.489037,24,Punjab,Uzair Real Estate,Buy
Multan,"Wapda Town Phase 1 - Block A, Wapda Town Phase 1",28000000,0,0,2475,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_-_block_a_double_storey_11_marla_house_for_sale_in_wapda_town_phase_1_-_block_a_multan-47583864-5822-1.html,Added: 1 week ago,Houses_Property,30.244832,71.50619,38,Punjab,Ahmad Real Estate,Buy
Multan,"Nova Homes, Multan Public School Road",28000000,4,5,2250,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_public_school_road_nova_homes_10_marla_spacious_house_available_in_nova_homes_for_sale-47527373-11455-1.html,Added: 2 weeks ago,Houses_Property,30.244433,71.559921,20,Punjab,Nova HRL,Buy
Multan,"Royal Orchard - Block C, Royal Orchard",28000000,4,5,2250,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_c_get_in_touch_now_to_buy_a_10_marla_house_in_royal_orchard_-_block_c-47527365-9496-1.html,Added: 2 weeks ago,Houses_Property,30.253458,71.554863,20,Punjab,Nova HRL,Buy
Multan,"Wapda Town Phase 2, Wapda Town",65500000,6,6,4500,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_brand_new_house_for_sale-47519194-5825-1.html,Added: 2 weeks ago,Houses_Property,30.236342,71.526875,43,Punjab,Chakar E Azam Rind Real Estate & Associates,Buy
Multan,"Buch Executive Villas, Multan",35000000,5,6,2250,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_house_available_for_sale-47519282-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,18,Punjab,Hamid Homes,Buy
Multan,"Buch Executive Villas, Multan",36900000,5,6,2250,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_house_available_for_sale-47519354-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,27,Punjab,Hamid Homes,Buy
Multan,"Buch Executive Villas, Multan",11200000,3,4,900,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_buch_executive_villas_4_5_marla_double_story_beautiful_luxurious_house_for_sale_in_buch_villas-46346410-8627-1.html,Added: 2 days ago,Houses_Property,30.286812,71.489983,27,Punjab,Property Business Center,Buy
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",14800000,4,5,1125,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_5_marla_luxurious_for_sale_in_buch_villas_multan-47455810-19720-1.html,Added: 2 days ago,Houses_Property,30.29016,71.489037,22,Punjab,,Buy
Multan,"DHA Villas, DHA Defence",13200000,3,4,1350,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/dha_defence_dha_villas_prime_location_house_available_for_sale_in_dha_villas-47501142-14018-1.html,Added: 2 days ago,Houses_Property,30.289475999999986,71.52267699999999,5,Punjab,Meezan Real Estate,Buy
Multan,"Shalimar Colony, Multan",16000000,4,4,1238,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_shalimar_colony_5_5_marla_house-47617971-346-1.html,Added: 2 days ago,Houses_Property,30.241087,71.489875,7,Punjab,H Khan Associates,Buy
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",37500000,5,6,2430,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_10_83_marla_brand_new_luxury_house_available_for_sale_in_buch_executive_villas_phase_2_multan-47672701-19720-1.html,Added: 3 days ago,Houses_Property,30.29016,71.489037,24,Punjab,excutivebuilders165@gmail. com,Buy
Multan,"Bahadurpur, Multan",19000000,6,5,2250,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_bahadurpur_10_marla_double_storey_house_beautifully_design_in_bahadarpur_multan-47500742-8620-1.html,Added: 8 hours ago,Houses_Property,30.257834,71.496449,6,Punjab,Reliance Associates,Buy
Multan,"Nasheman Colony, Multan",27000000,6,6,2475,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_nasheman_colony_corner_11_marla_new_construction_house_in_nasheman_colony_multan-47500802-1075-1.html,Added: 8 hours ago,Houses_Property,30.233209,71.485652,6,Punjab,Reliance Associates,Buy
Multan,"Income Tax Officers Colony, Multan",30000000,6,6,4050,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_income_tax_officers_colony_18_marla_double_storey_house_available_for_sale_income_tax_officer_colony-47500897-5751-1.html,Added: 8 hours ago,Houses_Property,30.230965,71.482415,5,Punjab,Reliance Associates,Buy
Multan,"North Gulgasht, Multan",7500000,3,3,675,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/multan_north_gulgasht_corner_house_of_3_marla_in_kehkashan_st_07_in_north_gulghasht_multan-47500990-8680-1.html,Added: 8 hours ago,Houses_Property,30.234895,71.472631,13,Punjab,Reliance Associates,Buy
Multan,"Wapda Town Phase 2 - Block Q, Wapda Town Phase 2",65000000,6,6,4500,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/wapda_town_phase_2_wapda_town_phase_2_-_block_q_beautiful_house_of_1_kanal_in_wapda_town_phase_multan-46880551-14208-1.html,Added: 9 hours ago,Houses_Property,30.23264,71.527324,44,Punjab,Reliance Associates,Buy
Multan,"DHA Phase 1, DHA Defence",49000000,5,6,4500,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/dha_defence_dha_phase_1_1_kanal_ideal_location_house_available_for_sale_dha_multan_sector_q-46304674-15631-1.html,Added: 9 hours ago,Houses_Property,30.289605,71.52194,21,Punjab,Reliance Associates,Buy
Multan,"Askari 3, DHA Defence",26500000,0,0,2700,Corner 10 Marla House Situated In Royal Orchard For sale,https://www.zameen.com/Property/dha_defence_askari_3_best_options_for_prime_location_house_is_available_for_sale_in_askari_3-46290288-17156-1.html,Added: 9 hours ago,Houses_Property,30.2945681,71.5114415,38,Punjab,Reliance Associates,Buy
